"               epoch"	"      train/box_loss"	"      train/obj_loss"	"      train/cls_loss"	"   metrics/precision"	"      metrics/recall"	"     metrics/mAP_0.5"	"metrics/mAP_0.5:0.95"	"        val/box_loss"	"        val/obj_loss"	"        val/cls_loss"	"               x/lr0"	"               x/lr1"	"               x/lr2"
"                 100"	"            0.023135"	"            0.018875"	"          0.00059723"	"             0.95754"	"              0.9361"	"             0.97226"	"             0.68221"	"            0.025034"	"            0.016828"	"           0.0019654"	"           0.0080362"	"           0.0080362"	"           0.0080362"
"                 101"	"             0.02298"	"            0.019256"	"          0.00062528"	"             0.94565"	"             0.94917"	"             0.97266"	"             0.68537"	"            0.024907"	"             0.01686"	"             0.00202"	"               0.008"	"               0.008"	"               0.008"
"                 102"	"            0.022791"	"            0.018887"	"          0.00064037"	"             0.95159"	"             0.94348"	"             0.97263"	"             0.68438"	"             0.02499"	"            0.016877"	"           0.0020244"	"           0.0079636"	"           0.0079636"	"           0.0079636"
"                 103"	"            0.022852"	"            0.018891"	"           0.0006345"	"             0.95916"	"             0.93305"	"             0.97338"	"             0.68496"	"            0.025067"	"            0.016849"	"            0.001983"	"            0.007927"	"            0.007927"	"            0.007927"
"                 104"	"            0.023097"	"            0.019323"	"           0.0005522"	"             0.95342"	"             0.93919"	"             0.97214"	"              0.6843"	"            0.025059"	"            0.016812"	"           0.0019518"	"           0.0078902"	"           0.0078902"	"           0.0078902"
"                 105"	"            0.022779"	"            0.019043"	"          0.00056884"	"             0.95268"	"             0.94223"	"             0.97208"	"             0.68263"	"            0.025071"	"            0.016786"	"           0.0019937"	"           0.0078532"	"           0.0078532"	"           0.0078532"
"                 106"	"            0.022686"	"            0.018519"	"          0.00057452"	"             0.95506"	"              0.9391"	"             0.97129"	"             0.68222"	"            0.025089"	"            0.016797"	"           0.0020015"	"            0.007816"	"            0.007816"	"            0.007816"
"                 107"	"            0.022478"	"            0.018639"	"          0.00056808"	"              0.9537"	"             0.93814"	"             0.97163"	"             0.68295"	"            0.025108"	"            0.016832"	"           0.0020187"	"           0.0077785"	"           0.0077785"	"           0.0077785"
"                 108"	"            0.022486"	"            0.018405"	"          0.00060347"	"             0.95127"	"              0.9394"	"             0.97091"	"             0.68177"	"            0.025078"	"            0.016854"	"           0.0019764"	"           0.0077409"	"           0.0077409"	"           0.0077409"
"                 109"	"            0.022591"	"             0.01889"	"           0.0005756"	"             0.95538"	"             0.93803"	"             0.97117"	"             0.68191"	"            0.025022"	"            0.016763"	"           0.0019954"	"           0.0077031"	"           0.0077031"	"           0.0077031"
"                 110"	"            0.022823"	"            0.018988"	"          0.00060482"	"             0.95607"	"                0.94"	"             0.97212"	"             0.68341"	"            0.025048"	"            0.016794"	"           0.0019694"	"           0.0076651"	"           0.0076651"	"           0.0076651"
"                 111"	"            0.022504"	"            0.018614"	"          0.00056665"	"             0.95354"	"             0.94032"	"             0.97188"	"             0.68297"	"            0.025049"	"            0.016867"	"           0.0020069"	"           0.0076269"	"           0.0076269"	"           0.0076269"
"                 112"	"            0.022359"	"            0.018521"	"          0.00051384"	"             0.95349"	"             0.93792"	"             0.97124"	"             0.68457"	"            0.025009"	"            0.016873"	"           0.0019757"	"           0.0075886"	"           0.0075886"	"           0.0075886"
"                 113"	"            0.022411"	"            0.018723"	"          0.00061534"	"             0.95154"	"             0.93804"	"             0.97193"	"             0.68309"	"            0.025004"	"            0.016911"	"           0.0019591"	"           0.0075501"	"           0.0075501"	"           0.0075501"
"                 114"	"            0.022417"	"            0.018592"	"          0.00051422"	"              0.9524"	"              0.9397"	"             0.97266"	"             0.68433"	"            0.025036"	"            0.016908"	"           0.0019195"	"           0.0075114"	"           0.0075114"	"           0.0075114"
"                 115"	"            0.022321"	"            0.018385"	"          0.00054025"	"              0.9555"	"             0.93977"	"             0.97242"	"             0.68396"	"            0.025063"	"            0.016916"	"           0.0019173"	"           0.0074725"	"           0.0074725"	"           0.0074725"
"                 116"	"            0.022403"	"            0.018682"	"          0.00057024"	"              0.9591"	"             0.93396"	"             0.97221"	"             0.68351"	"             0.02503"	"            0.016873"	"           0.0019618"	"           0.0074335"	"           0.0074335"	"           0.0074335"
